K,T,S,sigma,n,m,Error
198,0.1,188.4,0.31,5,6,0.002172181217788857
198,0.1,188.4,0.36,5,5,0.006829625367503602
198,0.1,188.4,0.4,5,4,0.009905332214992506
198,0.1,190.08,0.1,10,30,0.0002970889476835951
198,0.1,190.08,0.14,5,36,0.00011903835678987767
198,0.1,190.08,0.19,5,34,0.0005716270377054034
198,0.1,190.08,0.23,4,11,0.0008308503468915715
198,0.1,190.08,0.27,4,27,0.0002115269647987001
198,0.1,190.08,0.31,5,7,0.0032020886614239487
198,0.1,190.08,0.36,5,5,0.002947149728848329
198,0.1,190.08,0.4,5,4,0.014734406482548342
198,0.1,199.20000000000002,0.1,6,52,0.0001641867766210818
198,0.1,199.20000000000002,0.14,6,64,0.007248638555968012
198,0.1,199.20000000000002,0.19,6,64,0.030055734837773226
198,0.1,199.20000000000002,0.23,4,4,0.025653508832487758
198,0.1,199.20000000000002,0.27,4,4,0.0006265107863962166
198,0.1,199.20000000000002,0.31,5,64,0.0019174144197200375
198,0.1,199.20000000000002,0.36,4,34,9.086284877722263e-05
198,0.1,199.20000000000002,0.4,5,7,0.002562712389356718
198,0.1,205.92000000000002,0.1,6,41,6.630720957553339e-05
198,0.1,205.92000000000002,0.14,6,41,0.00010196329752767024
198,0.1,205.92000000000002,0.19,6,64,0.0022435229805581086
198,0.1,205.92000000000002,0.23,6,64,0.013795737536728133
198,0.1,205.92000000000002,0.27,4,4,0.01845401806954208
198,0.1,205.92000000000002,0.31,4,4,0.0015303690355945847
198,0.1,205.92000000000002,0.36,4,8,0.0016933164822566778
198,0.1,205.92000000000002,0.4,5,14,0.0005069383826232667
198,0.1,219.12,0.1,59,4,8.372482780130056e-05
198,0.1,219.12,0.14,5,64,0.014285432486296545
198,0.1,219.12,0.19,4,64,0.0024472040729746746
198,0.1,219.12,0.23,4,5,0.001334110531470839
198,0.1,219.12,0.27,4,4,0.006459586712238733
198,0.1,219.12,0.31,4,4,0.009227820995665586
198,0.1,219.12,0.36,4,4,0.002451969465682564
198,0.1,219.12,0.4,4,6,0.0008109118913179654
198,0.1,221.76,0.1,34,5,0.00016264490243281257
198,0.1,221.76,0.14,5,4,0.0186370011135318
198,0.1,221.76,0.19,5,64,0.005447938847982712
198,0.1,221.76,0.23,4,7,7.5077006147000965e-06
198,0.1,221.76,0.27,4,4,0.0029614775894439295
198,0.1,221.76,0.31,4,4,0.007775662098683876
198,0.1,221.76,0.36,4,4,0.004317520312329218
198,0.1,221.76,0.4,4,5,3.106506231962833e-05
198,0.1,237.6,0.1,5,8,5.110172287345676e-05
198,0.1,237.6,0.14,96,5,0.007556901987803529
198,0.1,237.6,0.19,74,22,3.2667690186427315e-05
198,0.1,237.6,0.23,5,4,0.011022197135994479
198,0.1,237.6,0.27,4,64,0.006041361180749886
198,0.1,237.6,0.31,4,7,7.38674355315879e-05
198,0.1,237.6,0.36,4,4,0.0033047938750041137
198,0.1,237.6,0.4,4,4,0.005104011274837764
198,0.1,239.04000000000002,0.1,5,64,0.0023185524175059744
198,0.1,239.04000000000002,0.14,12,4,0.019338897155915163
198,0.1,239.04000000000002,0.19,22,6,0.00018385238531992438
198,0.1,239.04000000000002,0.23,5,4,0.011629979836574636
198,0.1,239.04000000000002,0.27,4,64,0.007469233796964145
198,0.1,239.04000000000002,0.31,4,11,0.00031262730986604775
198,0.1,239.04000000000002,0.36,4,4,0.0026294591231562953
198,0.1,239.04000000000002,0.4,4,4,0.005116138890451232
198,0.28,140.0,0.14,4,7,180.50333478546617
198,0.28,140.0,0.19,5,4,1.4428513884864824
198,0.28,140.0,0.23,12,20,0.001823532569611537
198,0.28,140.0,0.27,16,24,0.0020588988346635115
198,0.28,140.0,0.31,12,14,0.0011380320741688564
198,0.28,140.0,0.36,14,36,0.0008556520678477818
198,0.28,140.0,0.4,12,49,0.0006608308776432042
198,0.28,150.0,0.14,128,4,9.531102703424386
198,0.28,150.0,0.19,16,36,0.001196834629898333
198,0.28,150.0,0.23,19,57,5.463908265840665e-05
198,0.28,150.0,0.27,14,64,0.00030321942290823374
198,0.28,150.0,0.31,10,12,0.0028308261914827093
198,0.28,150.0,0.36,6,6,0.0022804745754184137
198,0.28,150.0,0.4,8,14,0.00027520939882128194
198,0.28,150.72,0.14,128,4,6.91671828909445
198,0.28,150.72,0.19,16,24,0.0038905941537256293
198,0.28,150.72,0.23,16,36,0.0019037726322553297
198,0.28,150.72,0.27,12,15,0.007914201696206205
198,0.28,150.72,0.31,8,6,0.00334102888115757
198,0.28,150.72,0.36,6,6,0.0018622016707461472
198,0.28,150.72,0.4,8,15,0.0001311108035331595
198,0.28,158.4,0.14,4,5,0.021634526654361934
198,0.28,158.4,0.19,19,52,0.00053255289767877
198,0.28,158.4,0.23,14,36,0.0016083286755133497
198,0.28,158.4,0.27,12,44,0.000817504621080595
198,0.28,158.4,0.31,5,27,0.001007693439370171
198,0.28,158.4,0.36,8,17,0.0005016278503572276
198,0.28,158.4,0.4,8,52,0.00013426506391948215
198,0.28,163.28,0.14,14,12,0.004153317320093658
198,0.28,163.28,0.19,16,49,0.0014244418688916286
198,0.28,163.28,0.23,12,24,0.0006288607019089707
198,0.28,163.28,0.27,10,22,0.001554559736891827
198,0.28,163.28,0.31,6,18,0.00027151793160630516
198,0.28,163.28,0.36,8,34,0.0006591992796237919
198,0.28,163.28,0.4,6,8,0.006773572041711683
198,0.28,174.24,0.14,10,60,0.0008815380763824368
198,0.28,174.24,0.19,10,60,0.0005594098156685337
198,0.28,174.24,0.23,10,64,0.011033601740645242
198,0.28,174.24,0.27,5,5,0.004855103605164275
198,0.28,174.24,0.31,5,6,0.006532591002941882
198,0.28,174.24,0.36,6,41,0.000434339079888876
198,0.28,174.24,0.4,6,14,0.0048852495083837304
198,0.28,175.84,0.14,14,64,0.0005955487742513036
198,0.28,175.84,0.19,10,64,0.017454528461282762
198,0.28,175.84,0.23,5,4,0.015308282200975883
198,0.28,175.84,0.27,5,5,0.012213802541148991
198,0.28,175.84,0.31,5,6,0.003738957147258199
198,0.28,175.84,0.36,5,11,0.0009603801609734213
198,0.28,175.84,0.4,6,14,0.0013951253656423225
198,0.28,188.4,0.14,4,14,0.0023110135468105528
198,0.28,188.4,0.19,5,7,0.006246346587334923
198,0.28,188.4,0.23,5,5,0.004339759365557157
198,0.28,188.4,0.27,5,5,0.01203652539341134
198,0.28,188.4,0.31,5,5,0.009954001430303817
198,0.28,188.4,0.36,5,6,0.0011354431480669353
198,0.28,188.4,0.4,5,11,0.001047922393434917
198,0.28,190.08,0.14,5,17,0.000525610002716056
198,0.28,190.08,0.19,5,8,0.0028650825094325514
198,0.28,190.08,0.23,5,6,0.00913203225728794
198,0.28,190.08,0.27,5,5,0.00796808164414236
198,0.28,190.08,0.31,5,5,0.009898343992367132
198,0.28,190.08,0.36,5,6,0.004753935685888871
198,0.28,190.08,0.4,5,9,0.004104036873989834
198,0.28,199.20000000000002,0.14,4,4,0.010689085266733032
198,0.28,199.20000000000002,0.19,4,9,0.0011864416613520232
198,0.28,199.20000000000002,0.23,5,11,0.00021035887391149724
198,0.28,199.20000000000002,0.27,5,6,0.0021653034210707112
198,0.28,199.20000000000002,0.31,5,5,0.0009028493141207927
198,0.28,199.20000000000002,0.36,5,5,0.0005256042771584703
198,0.28,199.20000000000002,0.4,5,7,0.001689230471277755
198,0.28,205.92000000000002,0.14,4,4,0.005623728676559561
198,0.28,205.92000000000002,0.19,4,6,0.0010358276374423242
198,0.28,205.92000000000002,0.23,5,60,9.688466892963932e-05
198,0.28,205.92000000000002,0.27,5,9,0.001551787634126857
198,0.28,205.92000000000002,0.31,5,6,0.0015824302607290815
198,0.28,205.92000000000002,0.36,5,5,0.00037524375812798534
198,0.28,205.92000000000002,0.4,5,6,0.00044499598716995624
198,0.28,219.12,0.14,4,17,5.181034574760345e-05
198,0.28,219.12,0.19,4,5,0.0012605454570873238
198,0.28,219.12,0.23,4,7,0.0008775942719399311
198,0.28,219.12,0.27,4,64,0.004740285885923154
198,0.28,219.12,0.31,5,14,0.0006820887818557537
198,0.28,219.12,0.36,5,6,0.001556250821427943
198,0.28,219.12,0.4,5,6,0.0020664548203315047
198,0.28,221.76,0.14,4,64,0.004210289908210986
198,0.28,221.76,0.19,4,5,0.0023886258004603028
198,0.28,221.76,0.23,4,7,0.0012675000717840379
198,0.28,221.76,0.27,4,64,0.00031511751265057315
198,0.28,221.76,0.31,5,20,2.6726577496025102e-05
198,0.28,221.76,0.36,5,7,0.0004948296348989888
198,0.28,221.76,0.4,5,6,0.0010658004261859173
198,0.28,237.6,0.14,5,4,0.029618292568686196
198,0.28,237.6,0.19,4,64,0.005119074851559928
198,0.28,237.6,0.23,4,6,0.0004990639284510136
198,0.28,237.6,0.27,4,7,0.0005916796477994961
198,0.28,237.6,0.31,4,64,0.005368441867718677
198,0.28,237.6,0.36,5,64,0.0020306314178971724
198,0.28,237.6,0.4,5,11,0.00012980292210396698
198,0.28,239.04000000000002,0.14,5,4,0.03104536468698062
198,0.28,239.04000000000002,0.19,4,64,0.007453340010328648
198,0.28,239.04000000000002,0.23,4,7,0.0006825523173548376
198,0.28,239.04000000000002,0.27,4,7,0.00027148469776895536
198,0.28,239.04000000000002,0.31,4,64,0.00345215106666671
198,0.28,239.04000000000002,0.36,5,64,0.004222174212673742
198,0.28,239.04000000000002,0.4,5,12,0.0006155313586441238
198,0.45999999999999996,140.0,0.14,128,4,4.200373598664478
198,0.45999999999999996,140.0,0.19,16,39,0.0029349608198566413
198,0.45999999999999996,140.0,0.23,16,24,0.00048041711197936444
198,0.45999999999999996,140.0,0.27,14,30,0.0005825499041273027
198,0.45999999999999996,140.0,0.31,12,44,0.0001284253644757685
198,0.45999999999999996,140.0,0.36,8,18,0.0008355622631971434
198,0.45999999999999996,140.0,0.4,6,64,0.002846530191513363
198,0.45999999999999996,150.0,0.14,6,4,0.00752811460186475
198,0.45999999999999996,150.0,0.19,10,6,0.0014843585264195408
198,0.45999999999999996,150.0,0.23,12,27,0.0027169229337070237
198,0.45999999999999996,150.0,0.27,10,27,0.00012884543029581424
198,0.45999999999999996,150.0,0.31,8,12,0.005930747919415321
198,0.45999999999999996,150.0,0.36,6,11,0.004274725541534878
198,0.45999999999999996,150.0,0.4,6,32,0.0012381584243383514
198,0.45999999999999996,150.72,0.14,8,24,0.0001359504030372169
198,0.45999999999999996,150.72,0.19,5,9,0.0028464951106975485
198,0.45999999999999996,150.72,0.23,12,32,0.0017085082302679363
198,0.45999999999999996,150.72,0.27,10,30,0.001230356794651882
198,0.45999999999999996,150.72,0.31,8,14,0.006295637301250509
198,0.45999999999999996,150.72,0.36,6,11,0.0055497754454565925
198,0.45999999999999996,150.72,0.4,6,30,1.0016565975475838e-05
198,0.45999999999999996,158.4,0.14,16,18,0.00045542437685103514
198,0.45999999999999996,158.4,0.19,12,18,0.0032721944536358003
198,0.45999999999999996,158.4,0.23,10,20,0.00215115606805551
198,0.45999999999999996,158.4,0.27,5,41,0.0012439115792936674
198,0.45999999999999996,158.4,0.31,8,36,5.512295148873064e-05
198,0.45999999999999996,158.4,0.36,6,9,0.010144769830446905
198,0.45999999999999996,158.4,0.4,6,22,0.0009050047589251798
198,0.45999999999999996,163.28,0.14,14,17,0.00018792780948071085
198,0.45999999999999996,163.28,0.19,12,36,8.144967054624596e-05
198,0.45999999999999996,163.28,0.23,10,41,0.000641013519073603
198,0.45999999999999996,163.28,0.27,5,20,0.0019460760225372981
198,0.45999999999999996,163.28,0.31,6,8,0.006844591502747153
198,0.45999999999999996,163.28,0.36,6,9,0.00589989448535769
198,0.45999999999999996,163.28,0.4,6,18,0.00012668723221107234
198,0.45999999999999996,174.24,0.14,10,55,0.0008423968628552678
198,0.45999999999999996,174.24,0.19,10,64,0.017199229427218455
198,0.45999999999999996,174.24,0.23,5,6,0.012743651045063616
198,0.45999999999999996,174.24,0.27,5,9,0.0013221270746419367
198,0.45999999999999996,174.24,0.31,6,14,0.0004608191610898363
198,0.45999999999999996,174.24,0.36,6,11,0.007248183847799969
198,0.45999999999999996,174.24,0.4,6,14,0.0007786000533547517
198,0.45999999999999996,175.84,0.14,6,44,0.0007055389061196746
198,0.45999999999999996,175.84,0.19,10,64,0.02779793096007393
198,0.45999999999999996,175.84,0.23,5,5,0.016975751315308547
198,0.45999999999999996,175.84,0.27,5,9,0.0062568121644990225
198,0.45999999999999996,175.84,0.31,5,46,0.00024557527536605086
198,0.45999999999999996,175.84,0.36,6,11,0.005369026981395623
198,0.45999999999999996,175.84,0.4,6,14,0.001743595791270174
198,0.45999999999999996,188.4,0.14,4,64,0.003491336136661227
198,0.45999999999999996,188.4,0.19,5,6,0.006064703119579852
198,0.45999999999999996,188.4,0.23,5,5,0.004932934284109679
198,0.45999999999999996,188.4,0.27,5,6,0.0011544191506305036
198,0.45999999999999996,188.4,0.31,5,12,0.001986844909557199
198,0.45999999999999996,188.4,0.36,6,15,0.0001974355750177105
198,0.45999999999999996,188.4,0.4,6,14,0.0011286268755901529
198,0.45999999999999996,190.08,0.14,4,32,2.029206620729035e-05
198,0.45999999999999996,190.08,0.19,5,6,0.002236725781151798
198,0.45999999999999996,190.08,0.23,5,5,0.006819932117134381
198,0.45999999999999996,190.08,0.27,5,6,0.0005872137312540634
198,0.45999999999999996,190.08,0.31,5,11,0.0017284444344619863
198,0.45999999999999996,190.08,0.36,6,17,0.0006410918251705829
198,0.45999999999999996,190.08,0.4,6,14,0.00022759749831155503
198,0.45999999999999996,199.20000000000002,0.14,4,9,0.0018935607608906444
198,0.45999999999999996,199.20000000000002,0.19,5,12,0.000913081693302033
198,0.45999999999999996,199.20000000000002,0.23,5,7,0.0041828934493640885
198,0.45999999999999996,199.20000000000002,0.27,5,6,0.0013227958409465616
198,0.45999999999999996,199.20000000000002,0.31,5,8,5.508381683634484e-05
198,0.45999999999999996,199.20000000000002,0.36,6,52,9.000144873871954e-05
198,0.45999999999999996,199.20000000000002,0.4,6,18,0.0006661787295298116
198,0.45999999999999996,205.92000000000002,0.14,4,7,0.00031137325168594963
198,0.45999999999999996,205.92000000000002,0.19,5,46,6.955020998936811e-05
198,0.45999999999999996,205.92000000000002,0.23,5,9,0.00010363275214436974
198,0.45999999999999996,205.92000000000002,0.27,5,6,0.003462328707044638
198,0.45999999999999996,205.92000000000002,0.31,5,7,0.0019943407487390133
198,0.45999999999999996,205.92000000000002,0.36,5,64,0.002055314595937647
198,0.45999999999999996,205.92000000000002,0.4,6,32,0.00010226648578552964
198,0.45999999999999996,219.12,0.14,4,9,0.0007825975551439114
198,0.45999999999999996,219.12,0.19,4,15,0.0004635186495057771
198,0.45999999999999996,219.12,0.23,5,64,0.0008606011272168523
198,0.45999999999999996,219.12,0.27,5,11,0.0021226494549503676
198,0.45999999999999996,219.12,0.31,5,8,0.0018081784498017272
198,0.45999999999999996,219.12,0.36,5,18,1.2567186043467976e-05
198,0.45999999999999996,219.12,0.4,6,64,0.013421076164806936
198,0.45999999999999996,221.76,0.14,4,11,0.0005966762045207225
198,0.45999999999999996,221.76,0.19,4,14,0.0009351798085586962
198,0.45999999999999996,221.76,0.23,5,64,0.005477108940985186
198,0.45999999999999996,221.76,0.27,5,12,6.288994204045126e-05
198,0.45999999999999996,221.76,0.31,5,8,0.0004105994945682263
198,0.45999999999999996,221.76,0.36,5,17,0.000693545842797677
198,0.45999999999999996,221.76,0.4,6,64,0.016959486212078198
198,0.45999999999999996,237.6,0.14,5,64,0.01815354154326961
198,0.45999999999999996,237.6,0.19,4,11,0.0005712919430472106
198,0.45999999999999996,237.6,0.23,4,52,6.163709061499857e-05
198,0.45999999999999996,237.6,0.27,5,64,0.0095430655153741
198,0.45999999999999996,237.6,0.31,5,20,0.00022146663842486557
198,0.45999999999999996,237.6,0.36,5,14,4.1263562220264926e-05
198,0.45999999999999996,237.6,0.4,5,64,0.008855237797295553
198,0.45999999999999996,239.04000000000002,0.14,5,64,0.01994253037797086
198,0.45999999999999996,239.04000000000002,0.19,4,11,5.6205019040817034e-05
198,0.45999999999999996,239.04000000000002,0.23,4,34,1.130543336313072e-05
198,0.45999999999999996,239.04000000000002,0.27,5,64,0.011308780933740553
198,0.45999999999999996,239.04000000000002,0.31,5,27,8.639473030788829e-05
198,0.45999999999999996,239.04000000000002,0.36,5,15,0.00027710904728923784
198,0.45999999999999996,239.04000000000002,0.4,5,64,0.008102617766105075
198,0.64,140.0,0.14,128,4,1.0514251953037237
198,0.64,140.0,0.19,14,22,0.002883580792158312
198,0.64,140.0,0.23,12,60,0.00036387371323024853
198,0.64,140.0,0.27,12,41,0.0006396089283936348
198,0.64,140.0,0.31,8,20,0.0001319634630424056
198,0.64,140.0,0.36,10,64,0.0018304153354729116
198,0.64,140.0,0.4,10,64,0.03552935435881508
198,0.64,150.0,0.14,19,32,0.0023605792097773047
198,0.64,150.0,0.19,6,4,0.003507501059883894
198,0.64,150.0,0.23,10,27,0.0013429906444174613
198,0.64,150.0,0.27,8,14,0.0007013286101688564
198,0.64,150.0,0.31,6,11,0.007944871005396892
198,0.64,150.0,0.36,4,14,0.007558004807583171
198,0.64,150.0,0.4,10,64,0.07910545352421607
198,0.64,150.72,0.14,19,34,0.00027146235594427876
198,0.64,150.72,0.19,12,22,0.004353255554834674
198,0.64,150.72,0.23,10,30,0.0002744139907073045
198,0.64,150.72,0.27,8,15,0.00031246435976041583
198,0.64,150.72,0.31,6,11,0.0083680482197595
198,0.64,150.72,0.36,4,14,0.0006304260448523303
198,0.64,150.72,0.4,10,64,0.08175881888886971
198,0.64,158.4,0.14,14,20,2.557432835617095e-05
198,0.64,158.4,0.19,10,17,0.0013506905831166722
198,0.64,158.4,0.23,5,20,0.0017321428304944689
198,0.64,158.4,0.27,8,49,0.0007259281698790154
198,0.64,158.4,0.31,6,11,0.00978702447759867
198,0.64,158.4,0.36,4,60,0.0003141450719286384
198,0.64,158.4,0.4,6,64,0.10459233060329981
198,0.64,163.28,0.14,14,41,0.0003669906752113996
198,0.64,163.28,0.19,10,30,0.0016751730570539582
198,0.64,163.28,0.23,8,22,0.00016048737954304395
198,0.64,163.28,0.27,6,8,0.0063994988461435155
198,0.64,163.28,0.31,6,11,0.009222284686889192
198,0.64,163.28,0.36,6,64,0.000811480414204353
198,0.64,163.28,0.4,4,4,0.08872196597852039
198,0.64,174.24,0.14,10,64,0.004839237903758653
198,0.64,174.24,0.19,8,64,0.012740341353981579
198,0.64,174.24,0.23,5,9,0.002377962381643213
198,0.64,174.24,0.27,6,14,0.00468475783639502
198,0.64,174.24,0.31,6,11,0.0018501074426380108
198,0.64,174.24,0.36,6,32,0.0004132661439985466
198,0.64,174.24,0.4,4,4,0.020118861169023602
198,0.64,175.84,0.14,10,64,0.019304128285840508
198,0.64,175.84,0.19,5,5,0.017802221879579555
198,0.64,175.84,0.23,5,9,0.002880389083366136
198,0.64,175.84,0.27,6,14,0.0015277890022151637
198,0.64,175.84,0.31,6,11,0.00010705588168140819
198,0.64,175.84,0.36,6,30,0.00046764958454928256
198,0.64,175.84,0.4,4,5,0.006676631969402909
198,0.64,188.4,0.14,5,8,0.0004420366844246433
198,0.64,188.4,0.19,5,6,0.0003404117665499127
198,0.64,188.4,0.23,5,7,8.712419991491289e-05
198,0.64,188.4,0.27,5,18,0.0001921243478387102
198,0.64,188.4,0.31,6,17,0.0006351385184994184
198,0.64,188.4,0.36,6,25,0.00013161892163951423
198,0.64,188.4,0.4,4,14,0.0011274120647230682
198,0.64,190.08,0.14,5,9,0.003438070130951001
198,0.64,190.08,0.19,5,6,0.004292986017602821
198,0.64,190.08,0.23,5,7,0.0005983890555574722
198,0.64,190.08,0.27,5,17,0.0011471349823013743
198,0.64,190.08,0.31,6,18,0.0007055905150889607
198,0.64,190.08,0.36,6,25,5.064958141567693e-07
198,0.64,190.08,0.4,4,18,0.00042158620614043984
198,0.64,199.20000000000002,0.14,4,39,0.00015234258638352062
198,0.64,199.20000000000002,0.19,5,9,0.0011567122511731078
198,0.64,199.20000000000002,0.23,5,7,0.0018557794518889819
198,0.64,199.20000000000002,0.27,5,12,0.001020415409065974
198,0.64,199.20000000000002,0.31,6,64,4.690118201326888e-05
198,0.64,199.20000000000002,0.36,6,32,0.0002473999638943482
198,0.64,199.20000000000002,0.4,6,64,0.023396792210579078
198,0.64,205.92000000000002,0.14,4,17,5.427718124861955e-05
198,0.64,205.92000000000002,0.19,5,14,0.0004453509247650323
198,0.64,205.92000000000002,0.23,5,8,0.0006434855979895876
198,0.64,205.92000000000002,0.27,5,11,0.0018876241085398532
198,0.64,205.92000000000002,0.31,6,64,0.012604472255343169
198,0.64,205.92000000000002,0.36,6,55,0.00010046338163079588
198,0.64,205.92000000000002,0.4,6,64,0.02013860706631791
198,0.64,219.12,0.14,4,12,5.9759923972508105e-05
198,0.64,219.12,0.19,5,64,0.009472461562650998
198,0.64,219.12,0.23,5,14,0.0005827533008110936
198,0.64,219.12,0.27,5,11,0.001087207924182344
198,0.64,219.12,0.31,5,64,5.5723387631873616e-05
198,0.64,219.12,0.36,6,64,0.011920358222131841
198,0.64,219.12,0.4,6,64,0.01934051813783448
198,0.64,221.76,0.14,4,12,0.0006316565243106594
198,0.64,221.76,0.19,5,64,0.012975521682099879
198,0.64,221.76,0.23,5,18,0.00014330449683139094
198,0.64,221.76,0.27,5,11,5.369033964593639e-05
198,0.64,221.76,0.31,5,49,0.00015585937121909325
198,0.64,221.76,0.36,6,64,0.014673870213834183
198,0.64,221.76,0.4,6,64,0.01991224017781671
198,0.64,237.6,0.14,4,64,0.008586818263008127
198,0.64,237.6,0.19,4,46,3.228505913297647e-05
198,0.64,237.6,0.23,5,64,0.01173952325128994
198,0.64,237.6,0.27,5,30,6.145995226987559e-05
198,0.64,237.6,0.31,5,32,6.12218649849905e-05
198,0.64,237.6,0.36,6,64,0.03214276762352583
198,0.64,237.6,0.4,6,64,0.027388300150753404
198,0.64,239.04000000000002,0.14,4,64,0.011299416026464055
198,0.64,239.04000000000002,0.19,4,36,4.966179761990261e-05
198,0.64,239.04000000000002,0.23,5,64,0.013260122136180745
198,0.64,239.04000000000002,0.27,5,41,7.248366187110388e-05
198,0.64,239.04000000000002,0.31,5,34,7.759413984484166e-05
198,0.64,239.04000000000002,0.36,5,64,0.03063808610282336
198,0.64,239.04000000000002,0.4,6,64,0.028373360469189837
198,0.82,140.0,0.14,16,60,0.000813550658724302
198,0.82,140.0,0.19,16,39,0.0014132962824031517
198,0.82,140.0,0.23,10,27,0.00044072655353109033
198,0.82,140.0,0.27,6,9,0.00400166501683315
198,0.82,140.0,0.31,6,34,0.00022487650877711337
198,0.82,140.0,0.36,10,64,0.043456953955211305
198,0.82,140.0,0.4,8,64,0.0393735774917113
198,0.82,150.0,0.14,16,46,0.0016084888485512169
198,0.82,150.0,0.19,5,12,0.0006729325052975755
198,0.82,150.0,0.23,8,11,0.001659554143490398
198,0.82,150.0,0.27,6,9,0.000577246574563145
198,0.82,150.0,0.31,6,32,0.0008607712718264115
198,0.82,150.0,0.36,10,64,0.08456831526899594
198,0.82,150.0,0.4,8,64,0.05513716251466573
198,0.82,150.72,0.14,16,55,0.0007720135203090844
198,0.82,150.72,0.19,6,5,0.0050061281371398475
198,0.82,150.72,0.23,8,12,0.0034337379247369663
198,0.82,150.72,0.27,6,9,0.0008818187096484536
198,0.82,150.72,0.31,6,32,0.0010465597275519925
198,0.82,150.72,0.36,10,64,0.08709905864173821
198,0.82,150.72,0.4,8,64,0.056061437351884666
198,0.82,158.4,0.14,14,60,0.0001731253787267469
198,0.82,158.4,0.19,10,49,0.0004500060514237518
198,0.82,158.4,0.23,8,25,0.0021251231188008216
198,0.82,158.4,0.27,6,9,0.005249661950632044
198,0.82,158.4,0.31,6,30,0.0012210404218636391
198,0.82,158.4,0.36,10,64,0.11080491912151466
198,0.82,158.4,0.4,8,64,0.06551982749600044
198,0.82,163.28,0.14,12,34,0.0007765861144187473
198,0.82,163.28,0.19,6,12,0.0014074335764122231
198,0.82,163.28,0.23,6,9,0.004925211569311441
198,0.82,163.28,0.27,6,9,0.008095847335992775
198,0.82,163.28,0.31,6,27,0.0005611384399021
198,0.82,163.28,0.36,6,64,0.10078096291111871
198,0.82,163.28,0.4,8,64,0.0714881590311207
198,0.82,174.24,0.14,5,5,0.01631105356336652
198,0.82,174.24,0.19,5,7,0.005930193387050081
198,0.82,174.24,0.23,5,30,0.0008190636237472983
198,0.82,174.24,0.27,6,11,0.002333922472478751
198,0.82,174.24,0.31,6,22,3.904288178302247e-05
198,0.82,174.24,0.36,4,4,0.021822889721753443
198,0.82,174.24,0.4,8,64,0.08523909765129369
198,0.82,175.84,0.14,5,5,0.00614547589544944
198,0.82,175.84,0.19,5,7,0.0036765450204388947
198,0.82,175.84,0.23,5,25,0.001172698371148181
198,0.82,175.84,0.27,6,12,0.0008439743339674216
198,0.82,175.84,0.31,6,22,0.00039532680541018553
198,0.82,175.84,0.36,4,4,0.007945077596208218
198,0.82,175.84,0.4,8,64,0.08727523284255126
198,0.82,188.4,0.14,5,8,0.0013750300238779903
198,0.82,188.4,0.19,5,7,0.003235336524695282
198,0.82,188.4,0.23,5,14,0.0003803037899267751
198,0.82,188.4,0.27,6,22,0.0006944651577632246
198,0.82,188.4,0.31,6,24,0.0006443504635970664
198,0.82,188.4,0.36,4,8,0.0004423672533097419
198,0.82,188.4,0.4,8,64,0.1031856086540049
198,0.82,190.08,0.14,5,9,0.0011193590433079316
198,0.82,190.08,0.19,5,7,0.004782343725781572
198,0.82,190.08,0.23,5,14,0.0014834946835918404
198,0.82,190.08,0.27,6,25,0.00011991139928879045
198,0.82,190.08,0.31,6,24,0.00019695058481278114
198,0.82,190.08,0.36,4,9,0.003081862954356144
198,0.82,190.08,0.4,8,64,0.10527741551877241
198,0.82,199.20000000000002,0.14,5,30,0.0004219866579717746
198,0.82,199.20000000000002,0.19,5,9,0.000308759824435802
198,0.82,199.20000000000002,0.23,5,12,0.0008634446134689651
198,0.82,199.20000000000002,0.27,6,64,0.007029442176947666
198,0.82,199.20000000000002,0.31,6,39,2.7076107257744048e-05
198,0.82,199.20000000000002,0.36,4,64,0.00512870960664919
198,0.82,199.20000000000002,0.4,4,4,0.05297922908121589
198,0.82,205.92000000000002,0.14,4,64,0.013012660299739645
198,0.82,205.92000000000002,0.19,5,12,0.0001528486692181598
198,0.82,205.92000000000002,0.23,5,12,0.0010746447773795297
198,0.82,205.92000000000002,0.27,5,64,0.012183762913336584
198,0.82,205.92000000000002,0.31,6,64,0.0029821686939040504
198,0.82,205.92000000000002,0.36,6,64,0.030445753128446867
198,0.82,205.92000000000002,0.4,4,4,0.013124847802372316
198,0.82,219.12,0.14,4,32,0.00013888477512637832
198,0.82,219.12,0.19,5,55,2.43781655682429e-06
198,0.82,219.12,0.23,5,14,0.0006109842986524257
198,0.82,219.12,0.27,5,64,0.00153935524993774
198,0.82,219.12,0.31,6,64,0.017387798372257155
198,0.82,219.12,0.36,6,64,0.027052881429007816
198,0.82,219.12,0.4,4,8,0.00040824075420583595
198,0.82,221.76,0.14,4,27,5.067205198446291e-05
198,0.82,221.76,0.19,5,64,0.0031851496619395496
198,0.82,221.76,0.23,5,17,0.0010258861953911344
198,0.82,221.76,0.27,5,64,0.0005426330068052551
198,0.82,221.76,0.31,6,64,0.020318436196323852
198,0.82,221.76,0.36,6,64,0.027108937399858004
198,0.82,221.76,0.4,4,11,0.0016005707872091524
198,0.82,237.6,0.14,4,64,0.0008427969827152084
198,0.82,237.6,0.19,5,64,0.018950343645971406
198,0.82,237.6,0.23,5,64,0.0034337384357668007
198,0.82,237.6,0.27,5,64,0.00030852123074929475
198,0.82,237.6,0.31,5,64,0.026191667778518307
198,0.82,237.6,0.36,6,64,0.031666130550822805
